experiment,point_index,amplitude_energy_GeV,amplitude_energy_TeV,dipole_amplitude,amplitude_err_minus,amplitude_err_plus,amplitude_lower,amplitude_upper,phase_energy_GeV,phase_energy_TeV,phase_hour,phase_err_minus_hour,phase_err_plus_hour,phase_lower_hour,phase_upper_hour,amplitude_lower_clipped,amplitude_upper_clipped,phase_missing,marker_shape,rgb,vector_x_amplitude_pt,vector_y_amplitude_pt,vector_x_phase_pt,vector_y_phase_pt,extraction_method,source_pdf_page
Tibet ASgamma,8,299805.76537191763,299.80576537191763,0.0005998108530898443,0.00014002409645013205,0.00014026216981711853,0.00045978675663971226,0.0007400730229069628,299805.0575830679,299.80505758306793,-6.191793161493855,0.8993208860181525,0.8991972108051947,-7.091114047512008,-5.292595950688661,false,false,false,triangle_up,"0.50196,0.078431,0.078431",220.7475,143.55550999999988,461.039,201.01350999999997,PDF vector paths only,5
Tibet ASgamma,9,999982.7934270208,999.9827934270207,0.0013001063790024088,0.0003001017567181368,0.00030034541832410413,0.001000004622284272,0.0016004517973265129,999966.6380980853,999.9666380980854,-4.8932671755944135,0.8378670552023486,0.8422683627808283,-5.731134230796762,-4.050998812813585,false,false,false,triangle_up,"0.50196,0.078431,0.078431",247.963,120.12500999999995,488.254,190.8290099999999,PDF vector paths only,5
HAWC,1,2086.5993758119757,2.086599375811976,0.0008234555028818825,8.844746665991445e-7,9.420382541973143e-7,0.0008225710282152833,0.0008243975411360798,2080.164646793395,2.080164646793395,2.866760836203806,0,6.375010990211649e-7,2.866760836203806,2.866761473704905,false,false,false,square,"0.74902,0.50196,1",108.51495,133.95735000000002,348.73749999999995,129.96615000000003,PDF vector paths only,5
HAWC,2,3062.6884474418584,3.0626884474418583,0.0008977039870468642,9.960519970623246e-7,0.0000010572456664213964,0.0008967079350498019,0.0008987612327132856,3147.7020412963047,3.147702041296305,3.542269749345712,0,0.000011475019766393757,3.542269749345712,3.542281224365478,false,false,false,square,"0.74902,0.50196,1",117.18515,131.34255000000002,358.096,124.66805000000005,PDF vector paths only,5
HAWC,3,4495.5507712584185,4.495550771258419,0.0008234555028818825,8.844746665991445e-7,9.420382541973143e-7,0.0008225710282152833,0.0008243975411360798,4606.2502226418355,4.606250222641836,3.050979528405371,0,0.00007777513391715729,3.050979528405371,3.051057303539288,false,false,false,square,"0.74902,0.50196,1",125.8562,133.95735000000002,366.698,128.5213,PDF vector paths only,5
HAWC,4,6812.810813750321,6.812810813750321,0.0010218227053832606,0.0000023107118839156907,0.0000011796108636136227,0.001019511993499345,0.0010230023162468742,7196.35583221862,7.19635583221862,2.7308519771857487,0.00009817516905208379,0,2.7307538020166966,2.7308519771857487,false,false,false,square,"0.74902,0.50196,1",135.24845,127.42014999999998,376.778,131.03209999999996,PDF vector paths only,5
HAWC,5,11364.317985650709,11.36431798565071,0.0012130230340147332,0.0000027614661512699243,0.00000416989165537957,0.0012102615678634633,0.0012171929256701128,11243.6305459384,11.2436305459384,2.7394964920705185,0,0.00013961274039608895,2.7394964920705185,2.7396361048109146,false,false,false,square,"0.74902,0.50196,1",146.80865,122.22490000000005,386.8595,130.96429999999998,PDF vector paths only,5
HAWC,6,18957.52206908765,18.95752206908765,0.001380754479743298,0,5.56176519613677e-8,0.001380754479743298,0.0013808100973952593,19306.45707951132,19.306457079511322,3.086073963833597,0,0.00005418759331021761,3.086073963833597,3.086128151426907,false,false,false,square,"0.74902,0.50196,1",158.36995000000002,118.30215000000004,399.07399999999996,128.24605000000003,PDF vector paths only,5
HAWC,7,31621.766226249165,31.621766226249164,0.0014416437427525494,0.00006247388005383662,0.00006361787608062013,0.0013791698626987128,0.0015052616188331695,31143.378199432613,31.14337819943261,2.4324122133097834,0.5000724360622346,0.5001744362378471,1.9323397772475488,2.9325866495476305,false,false,false,square,"0.74902,0.50196,1",169.92950000000002,116.99510000000004,409.877,133.37279999999993,PDF vector paths only,5
HAWC,8,74987.71625464626,74.98771625464626,0.0006643307504707532,0.00005074828299994182,0.00005014820910687794,0.0006135824674708114,0.0007144789595776312,75903.46049628346,75.90346049628346,2.2877249641764212,0.9738849269081147,0.9738122517829648,1.3138400372683066,3.261537215959386,false,false,false,square,"0.74902,0.50196,1",189.438,140.46110000000004,430.004,134.50759999999997,PDF vector paths only,5
